"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1","time","disto"
"3824","313 HOUGANG AVE 5",1.36521740546842,103.894771265948,5,"Hougang",1.37129226620797,103.892380513029,726.707189068059,729,1012
"3825","313 JURONG EAST ST 32",1.34715455988215,103.733348701413,100,"Chinese Garden",1.34235282081401,103.732596738363,541.038322196949,565,785
"3826","313 SEMBAWANG DR",1.44447224601627,103.821707282924,91,"Sembawang",1.44905082158502,103.820046140211,542.172666990059,613,850
"3827","313 SERANGOON AVE 2",1.35323929752374,103.865249340249,19,"Lorong Chuan",1.35161217074555,103.864151938651,218.45754371756,324,451
"3828","313 SHUNFU RD",1.35147881263426,103.837185216121,195,"Marymount",1.348707263451,103.839423132332,396.506424434253,421,584
"3829","313 TAMPINES ST 33",1.35221766773568,103.956809861,65,"Tampines East",1.35619148271544,103.9546344625,504.277551144756,496,690
"3830","313 UBI AVE 1",1.32906022188765,103.903899355526,125,"Ubi",1.32997425973974,103.899226655439,529.883546240635,493,685
"3831","313 WOODLANDS ST 31",1.43080387256595,103.776172390442,130,"Marsiling",1.43252114855026,103.774074641403,301.73210865751,325,452
"3832","313A ANCHORVALE RD",1.39158552030217,103.887519934332,47,"Sengkang",1.39169462601522,103.895484694279,886.454713037422,833,1157
"3833","313A SUMANG LINK",1.4098518409694,103.901995283996,33,"Punggol",1.41492733388605,103.910166388177,1070.56139018091,1417,1967
"3834","313B ANCHORVALE RD",1.39134850373845,103.888012432395,66,"Sengkang",1.39169462601522,103.895484694279,832.455244287042,798,1107
"3835","313B SUMANG LINK",1.41023954723192,103.902143588407,28,"Punggol",1.41492733388605,103.910166388177,1034.14275849188,1470,2041
"3836","313C ANCHORVALE RD",1.39183903140814,103.887995878385,63,"Sengkang",1.39169462601522,103.895484694279,833.560254934894,787,1092
"3837","313C SUMANG LINK",1.41062885103467,103.901551852458,33,"Punggol",1.41492733388605,103.910166388177,1071.45845427241,1527,2120
"3838","313D ANCHORVALE RD",1.39215061903001,103.887563158843,48,"Sengkang",1.39169462601522,103.895484694279,883.021302117388,832,1155
"3839","314 ANG MO KIO AVE 3",1.36622707120636,103.850085858983,173,"Ang Mo Kio",1.36993284962262,103.84955809232,416.685561249119,359,498
