"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8526","768 PASIR RIS ST 71",1.37537067639067,103.935517710994,92,"Pasir Ris",1.37304331635804,103.949284527763,1553.82568704038
"8527","768 YISHUN AVE 3",1.42436151334868,103.833940260983,139,"Yishun",1.42944308477331,103.835005047246,577.955475538921
"8528","769 BEDOK RESERVOIR VIEW",1.33577919034865,103.937911555857,95,"Bedok Reservoir",1.33660782955099,103.932234623286,638.479943399586
"8529","769 CHOA CHU KANG ST 54",1.39420918139982,103.750535413456,119,"Yew Tee",1.39753506936297,103.747405150236,508.356807926862
"8530","769 PASIR RIS ST 71",1.37510622714738,103.9351471761,90,"Pasir Ris",1.37304331635804,103.949284527763,1589.98133463742
"8531","769 WOODLANDS DR 60",1.44729070675124,103.798950715823,130,"Admiralty",1.44058856161847,103.800990519771,779.847717424064
"8532","769 YISHUN AVE 3",1.42460205303196,103.833222391677,30,"Yishun",1.42944308477331,103.835005047246,574.256224841286
"8533","76A REDHILL RD",1.28871631968437,103.816854593836,75,"Redhill",1.28963453412887,103.81674097205,102.994363133879
"8534","77 BEDOK NTH RD",1.32869611162886,103.941995599533,292,"Tanah Merah",1.32718729074675,103.946348600798,512.734524960474
"8535","77 INDUS RD",1.29113483646901,103.826764453591,153,"Tiong Bahru",1.28610253615775,103.827445112419,565.291604223158
"8536","77 LOR LIMAU",1.32504567583472,103.854762707954,239,"Boon Keng",1.31933570922514,103.861569454156,988.870804577176
"8537","77 MARINE DR",1.3020158078523,103.908586206495,91,"Eunos",1.31978354916088,103.903225807255,2065.90342520117
